"","Dip","Gain","MatrixGo1","MatrixGo2","MatrixGo3","MatrixGo4","MatrixGo5","MatrixGo6","MatrixNoGo1","MatrixNoGo2","MatrixNoGo3","MatrixNoGo4","MatrixNoGo5","MatrixNoGo6"
"277","1.4","1.7",0.156282,0.142927,0.108386,0.0489754,0.000117818,9.75763e-05,0.000119612,0.0289078,0.0826638,0.132135,0.153876,0.159652
"278","1.4","1.8",0.156282,0.143893,0.111967,0.0535887,0.000148587,9.75753e-05,0.000118603,0.0263423,0.0785098,0.129111,0.153365,0.159652
"279","1.4","1.9",0.156283,0.144726,0.1152,0.0580102,0.000221661,9.75753e-05,0.000117722,0.0240127,0.0745845,0.12604,0.152827,0.159652
"280","1.4","2.0",0.156283,0.14545,0.118117,0.0622536,0.0003975,9.75755e-05,0.000116882,0.0218878,0.0709385,0.122952,0.152258,0.159652
"281","1.5","0.1",0.15515,0.00122263,0.000108622,0.000102838,9.46597e-05,9.69604e-05,0.0192029,0.155338,0.156314,0.159176,0.159362,0.159655
"282","1.5","0.2",0.156154,0.018891,0.000121698,0.000104296,9.49474e-05,9.69595e-05,0.00655832,0.148938,0.154674,0.158523,0.159145,0.159655
"283","1.5","0.3",0.156244,0.0453024,0.000436086,0.000106093,9.52453e-05,9.69599e-05,0.00193404,0.139085,0.152676,0.157806,0.15892,0.159655
"284","1.5","0.4",0.156268,0.0660583,0.00376522,0.000108288,9.55552e-05,9.69599e-05,0.00037219,0.125761,0.150232,0.157016,0.158684,0.159655
"285","1.5","0.5",0.156268,0.0827639,0.0137325,0.00011112,9.58853e-05,9.69587e-05,0.000189128,0.112228,0.147247,0.156141,0.158438,0.159653
"286","1.5","0.6",0.156272,0.0952657,0.0256613,0.000115285,9.623e-05,9.69587e-05,0.000166144,0.0994864,0.143649,0.155176,0.158182,0.159653
"287","1.5","0.7",0.156276,0.105138,0.036629,0.000132732,9.66006e-05,9.69587e-05,0.000153825,0.0883121,0.139402,0.154108,0.157914,0.159653
"288","1.5","0.8",0.156279,0.113006,0.0464884,0.000481599,9.70123e-05,9.69587e-05,0.000145252,0.0785191,0.134402,0.152924,0.157635,0.159653
"289","1.5","0.9",0.156282,0.119311,0.055415,0.00246369,9.74638e-05,9.69587e-05,0.000139255,0.0699542,0.128889,0.151612,0.157342,0.159653
"290","1.5","1.0",0.156283,0.124389,0.0635557,0.00648833,9.79667e-05,9.69587e-05,0.000134711,0.0626861,0.123174,0.15016,0.157037,0.159653
"291","1.5","1.1",0.156284,0.1285,0.0709767,0.0118378,9.85324e-05,9.69587e-05,0.000131129,0.056448,0.117463,0.148557,0.156717,0.159653
"292","1.5","1.2",0.156281,0.131822,0.0781667,0.0174286,9.91747e-05,9.69587e-05,0.000128227,0.0510034,0.112039,0.146789,0.15638,0.159653
"293","1.5","1.3",0.156279,0.134574,0.0844666,0.0230593,9.99235e-05,9.69587e-05,0.000125757,0.0462595,0.106573,0.144857,0.156028,0.159652
"294","1.5","1.4",0.15628,0.13685,0.0899966,0.0284645,0.000100757,9.69587e-05,0.000123899,0.0420871,0.101372,0.142754,0.155659,0.159653
"295","1.5","1.5",0.156281,0.138737,0.0950258,0.0336265,0.000101743,9.69587e-05,0.000122212,0.0383783,0.0964395,0.140466,0.155272,0.159652
"296","1.5","1.6",0.156281,0.140282,0.0996025,0.0385648,0.000103062,9.69587e-05,0.000120886,0.0350616,0.0917884,0.137969,0.154865,0.159652
"297","1.5","1.7",0.156282,0.141573,0.103767,0.0432925,0.000105385,9.69587e-05,0.000119612,0.0320781,0.0874125,0.13531,0.154438,0.159652
"298","1.5","1.8",0.156282,0.14267,0.107556,0.0478247,0.000110279,9.69587e-05,0.000118603,0.0293802,0.0832827,0.132543,0.153988,0.159652
"299","1.5","1.9",0.156283,0.143614,0.111001,0.0521756,0.000124088,9.69577e-05,0.000117722,0.0269288,0.0793385,0.1297,0.153516,0.159652
"300","1.5","2.0",0.156283,0.144434,0.114132,0.0563579,0.000163624,9.69577e-05,0.000116882,0.0246915,0.0755914,0.126809,0.153018,0.159652
"301","1.6","0.1",0.15515,0.000769749,0.000106477,0.000101806,9.40442e-05,9.6389e-05,0.0192029,0.155694,0.156416,0.159217,0.159377,0.159655
"302","1.6","0.2",0.156154,0.0150601,0.000114388,0.000103081,9.43085e-05,9.63889e-05,0.00655831,0.150033,0.154918,0.158614,0.159176,0.159655
"303","1.6","0.3",0.156244,0.0404686,0.000244218,0.000104595,9.45799e-05,9.63891e-05,0.0019341,0.141448,0.153115,0.157953,0.158968,0.159655
"304","1.6","0.4",0.156268,0.0609581,0.00203605,0.000106494,9.4861e-05,9.63878e-05,0.00037219,0.129515,0.150936,0.15723,0.158751,0.159655
"305","1.6","0.5",0.156272,0.0773311,0.00991358,0.000108766,9.5149e-05,9.63873e-05,0.000189149,0.1167,0.148302,0.156436,0.158524,0.159654
"306","1.6","0.6",0.156272,0.0905101,0.0210763,0.000111818,9.54524e-05,9.63873e-05,0.000166144,0.104294,0.145142,0.155561,0.158288,0.159653
"307","1.6","0.7",0.156276,0.1007,0.0317959,0.000117092,9.57785e-05,9.63873e-05,0.000153825,0.0931503,0.141413,0.1546,0.158044,0.159653
"308","1.6","0.8",0.156279,0.108933,0.0414807,0.000169359,9.61167e-05,9.63873e-05,0.000145252,0.0833716,0.137067,0.15354,0.157788,0.159653
"309","1.6","0.9",0.156282,0.115619,0.0502761,0.000849445,9.64814e-05,9.63873e-05,0.000139255,0.0746398,0.132078,0.152373,0.157522,0.159653
"310","1.6","1.0",0.156283,0.12107,0.0583204,0.00353342,9.68873e-05,9.63873e-05,0.000134711,0.0671065,0.126784,0.151086,0.157244,0.159653
"311","1.6","1.1",0.156285,0.125534,0.0657131,0.00789133,9.73322e-05,9.63873e-05,0.000131139,0.0606258,0.121371,0.14967,0.156954,0.159653
"312","1.6","1.2",0.156285,0.129198,0.0724962,0.0130588,9.78295e-05,9.63873e-05,0.000128227,0.0549988,0.116075,0.148115,0.156651,0.159653
"313","1.6","1.3",0.156282,0.132217,0.0792097,0.0183159,9.83896e-05,9.63873e-05,0.000125761,0.0500189,0.110921,0.146411,0.156332,0.159653
"314","1.6","1.4",0.15628,0.134741,0.0849667,0.023563,9.90258e-05,9.63873e-05,0.000123899,0.0456574,0.105814,0.144557,0.156,0.159653
"315","1.6","1.5",0.156281,0.136865,0.0901584,0.0286004,9.977e-05,9.63873e-05,0.000122212,0.0417817,0.100916,0.142547,0.155653,0.159653
